entity_id,type,unit,2026-03-07T23:00:00.000Z,2026-03-07T23:05:00.000Z,2026-03-07T23:10:00.000Z,2026-03-07T23:15:00.000Z,2026-03-07T23:20:00.000Z,2026-03-07T23:25:00.000Z,2026-03-07T23:30:00.000Z,2026-03-07T23:35:00.000Z,2026-03-07T23:40:00.000Z,2026-03-07T23:45:00.000Z,2026-03-07T23:50:00.000Z,2026-03-07T23:55:00.000Z,2026-03-08T00:00:00.000Z,2026-03-08T00:05:00.000Z,2026-03-08T00:10:00.000Z,2026-03-08T00:15:00.000Z,2026-03-08T00:20:00.000Z,2026-03-08T00:25:00.000Z,2026-03-08T00:30:00.000Z,2026-03-08T00:35:00.000Z,2026-03-08T00:40:00.000Z,2026-03-08T00:45:00.000Z,2026-03-08T00:50:00.000Z,2026-03-08T00:55:00.000Z,2026-03-08T01:00:00.000Z,2026-03-08T01:05:00.000Z,2026-03-08T01:10:00.000Z,2026-03-08T01:15:00.000Z,2026-03-08T01:20:00.000Z,2026-03-08T01:25:00.000Z,2026-03-08T01:30:00.000Z,2026-03-08T01:35:00.000Z,2026-03-08T01:40:00.000Z,2026-03-08T01:45:00.000Z,2026-03-08T01:50:00.000Z,2026-03-08T01:55:00.000Z,2026-03-08T02:00:00.000Z,2026-03-08T02:05:00.000Z,2026-03-08T02:10:00.000Z,2026-03-08T02:15:00.000Z,2026-03-08T02:20:00.000Z,2026-03-08T02:25:00.000Z,2026-03-08T02:30:00.000Z,2026-03-08T02:35:00.000Z,2026-03-08T02:40:00.000Z,2026-03-08T02:45:00.000Z,2026-03-08T02:50:00.000Z,2026-03-08T02:55:00.000Z,2026-03-08T03:00:00.000Z,2026-03-08T03:05:00.000Z,2026-03-08T03:10:00.000Z,2026-03-08T03:15:00.000Z,2026-03-08T03:20:00.000Z,2026-03-08T03:25:00.000Z,2026-03-08T03:30:00.000Z,2026-03-08T03:35:00.000Z,2026-03-08T03:40:00.000Z,2026-03-08T03:45:00.000Z,2026-03-08T03:50:00.000Z,2026-03-08T03:55:00.000Z,2026-03-08T04:00:00.000Z,2026-03-08T04:05:00.000Z,2026-03-08T04:10:00.000Z,2026-03-08T04:15:00.000Z,2026-03-08T04:20:00.000Z,2026-03-08T04:25:00.000Z,2026-03-08T04:30:00.000Z,2026-03-08T04:35:00.000Z,2026-03-08T04:40:00.000Z,2026-03-08T04:45:00.000Z,2026-03-08T04:50:00.000Z,2026-03-08T04:55:00.000Z,2026-03-08T05:00:00.000Z,2026-03-08T05:05:00.000Z,2026-03-08T05:10:00.000Z,2026-03-08T05:15:00.000Z,2026-03-08T05:20:00.000Z,2026-03-08T05:25:00.000Z,2026-03-08T05:30:00.000Z,2026-03-08T05:35:00.000Z,2026-03-08T05:40:00.000Z,2026-03-08T05:45:00.000Z,2026-03-08T05:50:00.000Z,2026-03-08T05:55:00.000Z,2026-03-08T06:00:00.000Z,2026-03-08T06:05:00.000Z,2026-03-08T06:10:00.000Z,2026-03-08T06:15:00.000Z,2026-03-08T06:20:00.000Z,2026-03-08T06:25:00.000Z,2026-03-08T06:30:00.000Z,2026-03-08T06:35:00.000Z,2026-03-08T06:40:00.000Z,2026-03-08T06:45:00.000Z,2026-03-08T06:50:00.000Z,2026-03-08T06:55:00.000Z,2026-03-08T07:00:00.000Z,2026-03-08T07:05:00.000Z,2026-03-08T07:10:00.000Z,2026-03-08T07:15:00.000Z,2026-03-08T07:20:00.000Z,2026-03-08T07:25:00.000Z,2026-03-08T07:30:00.000Z,2026-03-08T07:35:00.000Z,2026-03-08T07:40:00.000Z,2026-03-08T07:45:00.000Z,2026-03-08T07:50:00.000Z,2026-03-08T07:55:00.000Z,2026-03-08T08:00:00.000Z,2026-03-08T08:05:00.000Z,2026-03-08T08:10:00.000Z,2026-03-08T08:15:00.000Z,2026-03-08T08:20:00.000Z,2026-03-08T08:25:00.000Z,2026-03-08T08:30:00.000Z,2026-03-08T08:35:00.000Z,2026-03-08T08:40:00.000Z,2026-03-08T08:45:00.000Z,2026-03-08T08:50:00.000Z,2026-03-08T08:55:00.000Z,2026-03-08T09:00:00.000Z,2026-03-08T09:05:00.000Z,2026-03-08T09:10:00.000Z,2026-03-08T09:15:00.000Z,2026-03-08T09:20:00.000Z,2026-03-08T09:25:00.000Z,2026-03-08T09:30:00.000Z,2026-03-08T09:35:00.000Z,2026-03-08T09:40:00.000Z,2026-03-08T09:45:00.000Z,2026-03-08T09:50:00.000Z,2026-03-08T09:55:00.000Z,2026-03-08T10:00:00.000Z,2026-03-08T10:05:00.000Z,2026-03-08T10:10:00.000Z,2026-03-08T10:15:00.000Z,2026-03-08T10:20:00.000Z,2026-03-08T10:25:00.000Z,2026-03-08T10:30:00.000Z,2026-03-08T10:35:00.000Z,2026-03-08T10:40:00.000Z,2026-03-08T10:45:00.000Z,2026-03-08T10:50:00.000Z,2026-03-08T10:55:00.000Z,2026-03-08T11:00:00.000Z,2026-03-08T11:05:00.000Z,2026-03-08T11:10:00.000Z,2026-03-08T11:15:00.000Z,2026-03-08T11:20:00.000Z,2026-03-08T11:25:00.000Z,2026-03-08T11:30:00.000Z,2026-03-08T11:35:00.000Z,2026-03-08T11:40:00.000Z,2026-03-08T11:45:00.000Z,2026-03-08T11:50:00.000Z,2026-03-08T11:55:00.000Z,2026-03-08T12:00:00.000Z,2026-03-08T12:05:00.000Z,2026-03-08T12:10:00.000Z,2026-03-08T12:15:00.000Z,2026-03-08T12:20:00.000Z,2026-03-08T12:25:00.000Z,2026-03-08T12:30:00.000Z,2026-03-08T12:35:00.000Z,2026-03-08T12:40:00.000Z,2026-03-08T12:45:00.000Z,2026-03-08T12:54:17.752Z
sensor.hw_watermeter_198378_total_water_usage_cost,water_consumption_cost,EUR,0,,,,,,,,,,,,0,,,,,,,,,,,,0.011249999999989768,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0.04374999999998863,,,,,,,,,,,,0.2112499999999926,,,,,,,,,,,,0.0274999999999892,,,,,,,,,,,,0.012499999999988631,,,,,,,,,,,,0.0049999999999954525,,,,,,,,,,,,,,,,,,,,,,
sensor.backyard_lounge_heater_left_energy,device_consumption,kWh,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
sensor.backyard_lounge_heater_right_energy,device_consumption,kWh,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
sensor.outdoor_boiler_energy,device_consumption,kWh,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
sensor.living_room_spotlights_energy,device_consumption,kWh,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
sensor.kitchen_center_energy,device_consumption,kWh,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
sensor.kitchen_left_energy,device_consumption,kWh,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0.00999999999999801,,,,,,,,,,,,0.010000000000001563,,,,,,,,,,,,0,,,,,,,,,,,,0.00999999999999801,,,,,,,,,,,,0,,,,,,,,,,,,0.010000000000001563,,,,,,,,,,,,,,,,,,,,,,
sensor.kitchen_right_energy,device_consumption,kWh,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0.009999999999999787,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
sensor.office_desk_energy,device_consumption,kWh,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0.01999999999999602,,,,,,,,,,,,0.09999999999999432,,,,,,,,,,,,0.07000000000000739,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
sensor.shed_lamp_plug_summation_delivered,device_consumption,kWh,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
sensor.car_charger_enphase_energy_import,device_consumption,kWh,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0.0019999999999527063,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0.7190000000000509,,,,,,,,,,,,2.9919999999997344,,,,,,,,,,,,3.544000000000324,,,,,,,,,,,,3.4029999999997926,,,,,,,,,,,,,,,,,,,,,,
sensor.backyard_hallway_31_light_energy,device_consumption,kWh,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
sensor.bathroom_ceiling_bath_light_energy,device_consumption,kWh,0,,,,,,,,,,,,0,,,,,,,,,,,,0.009999999999999787,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
sensor.bathroom_ceiling_entrance_light_energy,device_consumption,kWh,0,,,,,,,,,,,,0,,,,,,,,,,,,0.010000000000000231,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
sensor.bathroom_ceiling_shower_light_energy,device_consumption,kWh,0,,,,,,,,,,,,0,,,,,,,,,,,,0.009999999999999787,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
sensor.bathroom_ceiling_toilet_light_energy,device_consumption,kWh,0,,,,,,,,,,,,0,,,,,,,,,,,,0.009999999999999787,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
sensor.lounge_spot_center_down_light_energy,device_consumption,kWh,0,,,,,,,,,,,,0,,,,,,,,,,,,0.009999999999999787,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
sensor.lounge_spot_center_up_light_energy,device_consumption,kWh,0,,,,,,,,,,,,0,,,,,,,,,,,,0.010000000000000231,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
sensor.lounge_spot_left_up_light_energy,device_consumption,kWh,0,,,,,,,,,,,,0,,,,,,,,,,,,0.010000000000000231,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
sensor.lounge_spot_left_down_light_energy,device_consumption,kWh,0,,,,,,,,,,,,0,,,,,,,,,,,,0.009999999999999787,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
sensor.lounge_spot_right_down_light_energy,device_consumption,kWh,0,,,,,,,,,,,,0,,,,,,,,,,,,0.010000000000000231,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
sensor.lounge_spot_right_up_light_energy,device_consumption,kWh,0,,,,,,,,,,,,0,,,,,,,,,,,,0.010000000000000231,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
sensor.master_bedroom_bed_light_energy,device_consumption,kWh,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
sensor.master_bedroom_entrance_light_energy,device_consumption,kWh,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
sensor.master_bedroom_tv_light_energy,device_consumption,kWh,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
